
OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,5,-,-,-,"3,222.30",-,100,"3,667.45","3,742.60","1,800","13,950.00","18,100",0.20,0.25,"2,850",-0.15,0.25,100.92,855,-233,"1,171",
,"5,605","-1,078","1,138",-,"3,657.00",-72.05,500,"3,653.00","3,659.20",50,"14,000.00","26,000",0.20,0.25,"22,250",-0.10,0.20,97.77,"8,437","-1,193","12,064",
,-,-,-,-,-,-,"1,800","3,566.40","3,622.45",300,"14,050.00","7,100",0.15,0.50,"1,100",-0.25,0.15,94.29,152,-28,145,
,2,-,-,-,"3,033.05",-,"1,800","3,517.40","3,561.40",50,"14,100.00","9,550",0.15,0.25,250,-0.35,0.15,92.93,657,125,220,
,1,-,-,-,"2,817.95",-,"2,750","3,218.80","3,639.25",50,"14,150.00","2,050",0.20,0.50,400,-0.10,0.50,93.59,80,-32,81,
,2,-,-,-,"2,824.05",-,"1,800","3,416.65","3,465.20",50,"14,200.00","2,900",0.15,0.20,250,-0.25,0.15,90.20,113,-,402,
,-,-,-,-,-,-,"1,500","3,155.00","3,442.70","1,800","14,250.00",950,0.25,0.85,600,-0.20,0.25,92.44,20,-2,89,
,2,-,-,-,"2,940.00",-,50,"3,321.35","3,376.80",50,"14,300.00","1,700",0.20,0.30,250,-0.40,0.20,89.45,94,20,88,
,-,-,-,-,-,-,"1,800","3,260.15","3,328.55","1,800","14,350.00","3,600",0.10,0.65,500,-0.25,0.65,97.30,1,-,11,
,-,-,-,-,"2,570.00",-,50,"3,221.20","3,291.60","1,800","14,400.00",200,0.15,0.25,300,-0.30,0.25,88.25,177,-7,72,
,-,-,-,-,-,-,"1,500","3,013.95","3,286.45","1,500","14,450.00","16,800",0.10,0.55,250,-0.30,0.30,88.16,11,1,52,
,"1,109",-380,614,-,"3,159.20",-78.50,100,"3,154.80","3,162.45",50,"14,500.00","15,650",0.15,0.20,"31,450",-0.30,0.15,82.12,"6,263",-205,"6,063",
,-,-,-,-,-,-,"1,800","3,057.50","3,189.35","1,500","14,550.00","17,100",0.10,0.50,"1,300",-0.20,0.50,89.19,257,29,65,
,3,-11,11,165.54,"3,115.00",150.00,"1,800","3,019.10","3,065.20","1,100","14,600.00","4,450",0.15,0.25,250,-0.30,0.15,79.46,490,20,514,
,-,-,-,-,-,-,"1,800","2,957.35","3,040.15","1,500","14,650.00","19,600",0.10,0.95,500,-,-,-,-,-,-,
,9,-4,4,149.33,"3,000.00",-40.00,50,"2,920.20","2,965.15",50,"14,700.00",700,0.30,0.35,450,-0.25,0.35,82.24,245,133,307,
,-,-,-,-,-,-,"1,500","2,711.60","3,023.55","2,500","14,750.00",550,0.30,1.35,200,-0.30,0.30,79.79,181,6,65,
,18,-9,9,144.77,"2,900.00",120.00,50,"2,816.95","2,864.25",50,"14,800.00",250,0.20,0.40,250,-0.40,0.25,77.23,118,-50,58,
,-,-,-,-,-,-,"1,500","2,642.50","2,881.60","1,500","14,850.00",200,0.15,1.10,50,-0.30,0.15,72.85,123,-2,96,
,4,-2,2,140.22,"2,800.00",655.00,50,"2,715.30","2,791.50","1,800","14,900.00","1,200",0.30,0.35,250,-0.30,0.30,75.65,287,-34,369,
,-,-,-,-,-,-,"1,800","2,658.85","2,776.85","1,500","14,950.00","16,800",0.10,0.95,500,-0.25,0.40,76.14,12,-3,204,
,"4,406",-870,"1,870",-,"2,662.20",-74.50,100,"2,656.55","2,661.35",50,"15,000.00","82,400",0.30,0.40,"2,500",-0.60,0.30,73.88,"18,590","-8,660","25,409",
,-,-,-,-,-,-,"1,500","2,446.25","2,642.40","1,800","15,050.00","1,250",0.25,0.60,350,-0.60,0.25,70.45,336,-,130,
,18,-2,4,-,"2,545.70",80.70,200,"2,537.40","2,563.10",250,"15,100.00",100,0.35,0.40,150,-0.45,0.35,71.11,453,-113,"1,374",
,-,-,-,-,"1,772.40",-,"1,800","2,471.30","2,584.20","1,500","15,150.00",400,0.25,0.95,100,-0.75,0.20,66.53,55,-14,107,
,27,-4,7,120.73,"2,492.60",136.20,350,"2,436.40","2,462.55",50,"15,200.00",500,0.40,0.50,"1,300",-0.35,0.40,70.58,"2,049",-628,"2,738",
,-,-,-,-,-,-,"1,500","2,253.45","2,441.40","1,800","15,250.00","14,150",0.20,0.95,100,-0.65,0.20,63.89,59,-10,98,
,18,-2,3,118.32,"2,395.00",130.00,50,"2,321.10","2,392.15","1,800","15,300.00",250,0.25,0.40,250,-0.65,0.25,66.39,837,-161,"1,305",
,3,-,-,-,"1,394.70",-,"1,550","2,167.30","2,382.20","1,500","15,350.00","14,550",0.20,0.70,350,-0.20,0.70,61.26,65,-6,149,
,55,-4,4,128.01,"2,316.15",199.45,200,"2,240.95","2,261.55",200,"15,400.00",100,0.45,0.50,"3,800",-0.65,0.40,64.95,"2,071",-109,"3,742",
,-,-,-,-,-,-,"1,500","2,089.05","2,245.05","1,500","15,450.00",250,0.30,0.55,"1,200",-0.55,0.30,60.69,249,-7,141,
,"2,636",-178,"1,121",-,"2,161.30",-78.65,50,"2,157.05","2,160.45",50,"15,500.00","1,550",0.35,0.40,"41,750",-0.70,0.30,60.15,"36,506","-8,823","43,367",
,1,-1,1,114.06,"2,154.80",378.80,50,"2,078.05","2,128.05",50,"15,550.00","1,500",0.30,0.65,200,-0.65,0.30,58.00,309,-27,125,
,80,-3,3,118.41,"2,116.00",190.90,50,"2,034.75","2,058.25",100,"15,600.00","6,800",0.40,0.45,"52,550",-0.70,0.45,58.77,"5,571","-1,263","7,700",
,2,-,-,-,"1,499.65",-,"1,800","1,960.15","2,053.45","1,500","15,650.00","1,150",0.25,0.80,500,-0.65,0.30,55.32,293,-60,156,
,26,-5,5,111.89,"2,012.80",-22.20,"1,800","1,921.05","1,990.80","1,800","15,700.00","1,250",0.30,0.45,200,-0.85,0.20,56.57,"6,198","-2,682","2,461",
,-,-,-,-,"1,303.40",-,"1,800","1,862.60","1,952.25","1,500","15,750.00",250,0.35,0.65,"1,150",-0.85,0.35,53.38,"1,671","-1,028","1,446",
